fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
x        	 IDENT
:        	 COLON
i32      	 INT
=        	 ASSIGN
3        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
let      	 LET
y        	 IDENT
:        	 COLON
i32      	 INT
=        	 ASSIGN
2        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
+        	 ADD
y        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
// println!("{}",x + y); 	 COMMENT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
-        	 SUB
y        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
*        	 MUL
y        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
/        	 QUO
y        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
%        	 REM
y        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
>>       	 RSHIFT
1        	 INT_LIT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
<<       	 LSHIFT
1        	 INT_LIT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
>=       	 GEQ
y        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
<=       	 LEQ
y        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
let      	 LET
xx       	 IDENT
:        	 COLON
f32      	 FLOAT
=        	 ASSIGN
3.1      	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
let      	 LET
yy       	 IDENT
:        	 COLON
f32      	 FLOAT
=        	 ASSIGN
2.1      	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
+        	 ADD
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
-        	 SUB
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
*        	 MUL
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
/        	 QUO
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 20
comment line: 1
