fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
height   	 IDENT
:        	 COLON
i32      	 INT
=        	 ASSIGN
99       	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
{        	 LBRACE
         	 NEWLINE
let      	 LET
width    	 IDENT
:        	 COLON
f32      	 FLOAT
=        	 ASSIGN
3.14     	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
width    	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
height   	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
let      	 LET
length   	 IDENT
:        	 COLON
f32      	 FLOAT
=        	 ASSIGN
0.0      	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
{        	 LBRACE
         	 NEWLINE
let      	 LET
length   	 IDENT
:        	 COLON
&        	 BAND
str      	 IDENT
=        	 ASSIGN
"        	 QUOTA
hello world 	 STRING_LIT
"        	 QUOTA
;        	 SEMICOLON
         	 NEWLINE
{        	 LBRACE
         	 NEWLINE
let      	 LET
length   	 IDENT
:        	 COLON
bool     	 BOOL
=        	 ASSIGN
true     	 TRUE
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
length   	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
length   	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
length   	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 18
comment line: 0
