fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
mut      	 MUT
x        	 IDENT
:        	 COLON
i32      	 INT
=        	 ASSIGN
0        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
x        	 IDENT
=        	 ASSIGN
10       	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
x        	 IDENT
+=       	 ADD_ASSIGN
2        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
x        	 IDENT
-=       	 SUB_ASSIGN
3        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
x        	 IDENT
*=       	 MUL_ASSIGN
4        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
x        	 IDENT
/=       	 QUO_ASSIGN
5        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
x        	 IDENT
%=       	 REM_ASSIGN
6        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
let      	 LET
mut      	 MUT
yy       	 IDENT
:        	 COLON
f32      	 FLOAT
=        	 ASSIGN
3.14     	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
yy       	 IDENT
=        	 ASSIGN
10.4     	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
yy       	 IDENT
+=       	 ADD_ASSIGN
2.0      	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
yy       	 IDENT
-=       	 SUB_ASSIGN
3.0      	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
yy       	 IDENT
*=       	 MUL_ASSIGN
4.0      	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
yy       	 IDENT
/=       	 QUO_ASSIGN
5.0      	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
let      	 LET
mut      	 MUT
s        	 IDENT
:        	 COLON
&        	 BAND
str      	 IDENT
=        	 ASSIGN
"        	 QUOTA
"        	 QUOTA
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
s        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
s        	 IDENT
=        	 ASSIGN
"        	 QUOTA
Hello    	 STRING_LIT
"        	 QUOTA
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
s        	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
let      	 LET
mut      	 MUT
bbb      	 IDENT
:        	 COLON
bool     	 BOOL
=        	 ASSIGN
false    	 FALSE
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
bbb      	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
bbb      	 IDENT
=        	 ASSIGN
true     	 TRUE
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
bbb      	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 39
comment line: 0
