fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
x        	 IDENT
:        	 COLON
i32      	 INT
=        	 ASSIGN
3        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
let      	 LET
y        	 IDENT
:        	 COLON
f32      	 FLOAT
=        	 ASSIGN
3.14     	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
let      	 LET
mut      	 MUT
z1       	 IDENT
:        	 COLON
i32      	 INT
;        	 SEMICOLON
         	 NEWLINE
let      	 LET
mut      	 MUT
z2       	 IDENT
:        	 COLON
f32      	 FLOAT
;        	 SEMICOLON
         	 NEWLINE
z1       	 IDENT
=        	 ASSIGN
x        	 IDENT
+        	 ADD
y        	 IDENT
as       	 AS
i32      	 INT
;        	 SEMICOLON
         	 NEWLINE
z2       	 IDENT
=        	 ASSIGN
x        	 IDENT
as       	 AS
f32      	 FLOAT
+        	 ADD
y        	 IDENT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z1       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z2       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
z1       	 IDENT
=        	 ASSIGN
x        	 IDENT
+        	 ADD
6.28     	 FLOAT_LIT
as       	 AS
i32      	 INT
;        	 SEMICOLON
         	 NEWLINE
z2       	 IDENT
=        	 ASSIGN
6        	 INT_LIT
as       	 AS
f32      	 FLOAT
+        	 ADD
y        	 IDENT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z1       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z2       	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 14
comment line: 0
