fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
x        	 IDENT
:        	 COLON
i32      	 INT
=        	 ASSIGN
0        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
if       	 IF
x        	 IDENT
==       	 EQL
0        	 INT_LIT
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
Hello    	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
         	 NEWLINE
if       	 IF
x        	 IDENT
==       	 EQL
2        	 INT_LIT
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
Hello    	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
else     	 ELSE
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
Bye      	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 12
comment line: 0
