fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
         	 NEWLINE
let      	 LET
mut      	 MUT
counter  	 IDENT
=        	 ASSIGN
0        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
let      	 LET
result   	 IDENT
:        	 COLON
&        	 BAND
str      	 IDENT
=        	 ASSIGN
loop     	 LOOP
{        	 LBRACE
         	 NEWLINE
counter  	 IDENT
+=       	 ADD_ASSIGN
1        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
if       	 IF
counter  	 IDENT
==       	 EQL
10       	 INT_LIT
{        	 LBRACE
         	 NEWLINE
break    	 BREAK
"        	 QUOTA
loop break 	 STRING_LIT
"        	 QUOTA
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
}        	 RBRACE
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
result   	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
counter  	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 15
comment line: 0
