fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
mut      	 MUT
state    	 IDENT
:        	 COLON
[        	 LBRACK
[        	 LBRACK
i32      	 INT
;        	 SEMICOLON
2        	 INT_LIT
]        	 RBRACK
;        	 SEMICOLON
3        	 INT_LIT
]        	 RBRACK
=        	 ASSIGN
[        	 LBRACK
[        	 LBRACK
0        	 INT_LIT
;        	 SEMICOLON
2        	 INT_LIT
]        	 RBRACK
;        	 SEMICOLON
3        	 INT_LIT
]        	 RBRACK
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
2        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
2        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
state    	 IDENT
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
=        	 ASSIGN
0        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
state    	 IDENT
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
=        	 ASSIGN
1        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
state    	 IDENT
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
=        	 ASSIGN
2        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
state    	 IDENT
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
=        	 ASSIGN
3        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
state    	 IDENT
[        	 LBRACK
2        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
=        	 ASSIGN
4        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
state    	 IDENT
[        	 LBRACK
2        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
=        	 ASSIGN
5        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
2        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
0        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
state    	 IDENT
[        	 LBRACK
2        	 INT_LIT
]        	 RBRACK
[        	 LBRACK
1        	 INT_LIT
]        	 RBRACK
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 21
comment line: 0
