fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
x        	 IDENT
:        	 COLON
i32      	 INT
=        	 ASSIGN
0        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
let      	 LET
z        	 IDENT
:        	 COLON
f32      	 FLOAT
=        	 ASSIGN
1.0      	 FLOAT_LIT
;        	 SEMICOLON
         	 NEWLINE
x        	 IDENT
=        	 ASSIGN
3        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
y        	 IDENT
=        	 ASSIGN
8        	 INT_LIT
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
if       	 IF
gg       	 IDENT
>        	 GTR
0        	 INT_LIT
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
gg       	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 11
comment line: 0
