fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
a        	 IDENT
:        	 COLON
[        	 LBRACK
i32      	 INT
;        	 SEMICOLON
5        	 INT_LIT
]        	 RBRACK
=        	 ASSIGN
[        	 LBRACK
10       	 INT_LIT
,        	 COMMA
20       	 INT_LIT
,        	 COMMA
30       	 INT_LIT
,        	 COMMA
40       	 INT_LIT
,        	 COMMA
50       	 INT_LIT
]        	 RBRACK
;        	 SEMICOLON
         	 NEWLINE
         	 NEWLINE
for      	 FOR
element  	 IDENT
in       	 IN
a        	 IDENT
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
element  	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 7
comment line: 0
