fn       	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
let      	 LET
s        	 IDENT
:        	 COLON
&        	 BAND
str      	 IDENT
=        	 ASSIGN
"        	 QUOTA
Hello World 	 STRING_LIT
"        	 QUOTA
;        	 SEMICOLON
         	 NEWLINE
let      	 LET
hello    	 IDENT
:        	 COLON
&        	 BAND
str      	 IDENT
=        	 ASSIGN
&        	 BAND
s        	 IDENT
[        	 LBRACK
..       	 DOTDOT
5        	 INT_LIT
]        	 RBRACK
;        	 SEMICOLON
         	 NEWLINE
let      	 LET
space    	 IDENT
:        	 COLON
&        	 BAND
str      	 IDENT
=        	 ASSIGN
&        	 BAND
s        	 IDENT
[        	 LBRACK
5        	 INT_LIT
..       	 DOTDOT
6        	 INT_LIT
]        	 RBRACK
;        	 SEMICOLON
         	 NEWLINE
let      	 LET
world    	 IDENT
:        	 COLON
&        	 BAND
str      	 IDENT
=        	 ASSIGN
&        	 BAND
s        	 IDENT
[        	 LBRACK
6        	 INT_LIT
..       	 DOTDOT
]        	 RBRACK
;        	 SEMICOLON
         	 NEWLINE
print    	 PRINT
(        	 LPAREN
hello    	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
print    	 PRINT
(        	 LPAREN
space    	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
world    	 IDENT
)        	 RPAREN
;        	 SEMICOLON
         	 NEWLINE
/* Hello World
     */       	 MUTI_LINE_COMMENT
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 11
comment line: 2
